Designator,Mid X,Mid Y,Rotation,Layer
ALIMENTACION1,62.88,-96.7,90.0,top
C1,85.39,-100.98,0.0,top
C2,85.39,-103.99,0.0,top
C5,72.57,-103.99,180.0,top
C6,72.57,-100.98,180.0,top
D1,96.89,-103.06,270.0,top
ESP32,101.76,-80.72,270.0,top
J1,84.813334,-56.86,180.0,top
J2,65.145,-81.23,270.0,top
J3,125.106667,-56.86,180.0,top
J4,62.046667,-56.86,180.0,top
J5,132.971667,-81.23,90.0,top
J6,104.96,-56.86,180.0,top
J7,63.55,-68.16,270.0,top
J8,134.566667,-68.16,90.0,top
R1,91.25,-102.78,270.0,top
STEPDOWN2,131.79,-98.39,0.0,top
SW1,64.815,-112.56,90.0,top
SW2,105.01,-102.6825,270.0,top
TCRT5000-1,136.416667,-56.86,180.0,top
TCRT5000-2,73.416667,-56.86,180.0,top
TCRT5000-3,116.41,-105.63,0.0,top
U2,78.96,-99.78,270.0,top
